"acc_y";"acc_z";"time_ms";"acc_x"
420;482;2994;-780
400;458;2999;-780
390;454;3004;-773
404;482;3009;-754
404;482;3014;-754
405;461;3019;-786
405;461;3024;-786
405;461;3028;-786
405;461;3033;-764
388;457;3038;-764
388;457;3043;-755
395;480;3048;-755
410;465;3053;-775
410;465;3058;-775
373;457;3063;-767
373;457;3067;-754
373;457;3072;-754
398;496;3077;-754
398;496;3082;-754
409;487;3087;-780
409;487;3092;-780
385;458;3097;-776
385;458;3102;-776
398;487;3106;-774
417;473;3111;-775
417;473;3116;-779
417;473;3121;-779
417;450;3126;-779
392;450;3131;-750
392;466;3136;-765
402;466;3141;-765
402;466;3145;-765
413;467;3150;-765
408;467;3155;-765
396;477;3160;-756
396;477;3165;-756
396;477;3170;-770
416;477;3175;-770
392;456;3180;-779
392;456;3184;-779
392;456;3189;-766
392;456;3194;-766
389;473;3199;-766
407;473;3204;-770
407;473;3209;-770
399;465;3214;-777
399;465;3219;-755
393;454;3223;-755
393;454;3228;-755
417;483;3233;-755
417;483;3238;-764
417;483;3243;-764
411;473;3248;-771
411;473;3253;-771
396;448;3258;-776
410;475;3262;-764
410;475;3267;-777
410;475;3272;-777
403;472;3277;-777
403;472;3282;-778
403;449;3287;-764
394;449;3292;-764
394;449;3297;-764
395;473;3301;-764
409;482;3306;-777
395;457;3311;-782
395;457;3316;-782
395;457;3321;-765
393;481;3326;-782
405;473;3331;-782
405;473;3336;-782
405;473;3340;-782
405;473;3345;-792
392;445;3350;-792
387;465;3355;-776
387;474;3360;-776
408;474;3365;-789
396;440;3370;-788
396;440;3375;-788
396;440;3379;-788
396;440;3384;-755
394;453;3389;-754
394;453;3394;-754
411;474;3399;-754
411;452;3404;-754
399;452;3409;-764
386;465;3413;-754
386;465;3418;-757
386;483;3423;-757
405;483;3428;-757
398;472;3433;-783
398;472;3438;-763
398;472;3443;-763
398;467;3448;-763
375;467;3452;-763
392;486;3457;-757
404;488;3462;-766
404;488;3467;-766
404;488;3472;-756
387;471;3477;-756
406;489;3482;-760
406;489;3487;-760
406;489;3491;-777
406;489;3496;-777
414;488;3501;-777
403;459;3506;-765
403;480;3511;-765
405;480;3516;-758
405;480;3521;-771
416;483;3526;-771
406;456;3530;-771
406;456;3535;-787
406;456;3540;-763
