x_f,y_f,z_f,x,y,z,time_ms
460.1,393.25,801.93,342,367,777,4464.21536441234
423.07,379.25,786.61,391,330,786,4472.75114904793
387.96,362.57,774.85,391,330,786,4481.28693368352
367.67,346.97,770.48,403,442,788,4489.82271831911
365.58,338.53,771.84,393,491,806,4498.35850295469
374.98,346.38,775.27,393,491,806,4506.89428759028
387.55,377.98,780.07,421,451,795,4515.43007222587
397.1,425.3,785.94,352,364,808,4523.96585686146
402.04,463.31,791.91,352,364,808,4532.50164149705
399.16,469.12,796.86,340,411,813,4541.03742613263
387.49,442.8,799.28,351,369,846,4549.57321076822
369.61,407.07,800.07,351,369,846,4558.10899540381
352.48,383.65,802.02,394,328,860,4566.6447800394
345.38,374.78,807.7,365,332,888,4575.18056467498
351.75,368.83,818.49,332,358,877,4583.71634931057
364.44,358.88,834.09,279,333,840,4592.25213394616
369.64,347.67,851.99,264,305,815,4600.78791858175
